Time,Signal,Noisy_signal
0.000000000000000000e+00,1.000000000000000000e+00,1.882026172983831902e+00
1.001001001001000992e-02,9.995055720856215187e-01,1.199584176269233193e+00
2.002002002002001985e-02,9.980227772604111092e-01,1.487391769313280765e+00
3.003003003003002977e-02,9.955530817946746103e-01,2.115999681395403620e+00
4.004004004004003969e-02,9.920989278611684892e-01,1.925877922936152231e+00
5.005005005005004615e-02,9.876637311201432734e-01,4.990247911819377657e-01
6.006006006006005954e-02,9.822518773417481253e-01,1.457296086104542754e+00
7.007007007007007293e-02,9.758687180691361096e-01,9.001901139202871382e-01
8.008008008008007939e-02,9.685205653265598347e-01,9.169111394297808637e-01
9.009009009009008584e-02,9.602146853776895030e-01,1.165513936346875612e+00
1.001001001001000923e-01,9.509592915403253244e-01,1.022981077120764359e+00
1.101101101101101126e-01,9.407635360646109390e-01,1.667900289546098591e+00
1.201201201201201191e-01,9.296375010827770957e-01,1.310156363656273859e+00
1.301301301301301394e-01,9.175921886393665350e-01,9.784296968857807419e-01
1.401401401401401459e-01,9.046395098117980815e-01,1.126571126184510829e+00
1.501501501501501523e-01,8.907922729320283395e-01,1.057629436619161645e+00
1.601601601601601588e-01,8.760641709209582295e-01,1.623103707499761406e+00
1.701701701701701652e-01,8.604697677481076834e-01,7.578906358652072184e-01
1.801801801801801717e-01,8.440244840299503393e-01,1.000558334855401021e+00
1.901901901901901781e-01,8.267445817811464037e-01,3.996967121302840154e-01
2.002002002002001846e-01,8.086471483337550614e-01,-4.678477595832842839e-01
2.102102102102102188e-01,7.897500794403260471e-01,1.116559377160506461e+00
2.202202202202202252e-01,7.700720615775812350e-01,1.202290161007334213e+00
2.302302302302302317e-01,7.496325534681825831e-01,3.785500432649616109e-01
2.402402402402402382e-01,7.284517668388609257e-01,1.863329078832664631e+00
2.502502502502502724e-01,7.065506464339323944e-01,-2.063219086544998415e-02
2.602602602602602788e-01,6.839508493039655468e-01,7.068301079546885912e-01
2.702702702702702853e-01,6.606747233900814864e-01,5.670827983771646874e-01
2.802802802802802917e-01,6.367452854250605920e-01,1.403134892604289252e+00
2.902902902902902982e-01,6.121861981731135938e-01,1.346865583123256105e+00
3.003003003003003046e-01,5.870217470308185526e-01,6.644954598792767175e-01
3.103103103103103111e-01,5.612768160123651207e-01,7.503580758134519302e-01
3.203203203203203175e-01,5.349768631428517551e-01,9.108398932779537827e-02
3.303303303303303240e-01,5.081478952839693086e-01,-4.822503388279941738e-01
3.403403403403403304e-01,4.808164424169648066e-01,3.068603677538884744e-01
3.503503503503503369e-01,4.530095314083142366e-01,5.311840159603042899e-01
3.603603603603603434e-01,4.247546592840479307e-01,1.039899999647908357e+00
3.703703703703703498e-01,3.960797660391568997e-01,9.972696904313624877e-01
3.803803803803803563e-01,3.670132070089653920e-01,1.733497983049892555e-01
3.903903903903903627e-01,3.375837248297924864e-01,1.864323495421247034e-01
4.004004004004003692e-01,3.078204210166279320e-01,-2.164560615169183744e-01
4.104104104104104311e-01,2.777527271859304703e-01,-4.322562414035571177e-01
4.204204204204204376e-01,2.474103759520025203e-01,-6.057247193605037605e-01
4.304304304304304440e-01,2.168233715257192329e-01,1.192211069141614121e+00
